"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-01","1.79",,"0.01","0.0","0.0","44","46","35","  140","  140","8.9","16.1","    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-02","8.50",,"0.00","0.0","0.0","40","50","29","  120","  120","18.1","23.9","    1","    1",,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-03","6.93",,"0.00","0.0","0.0","41","49","37","  110","  120","15.0","25.9",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-04","14.32",,"0.02","0.0","0.0","44","50","40","  120","  120","28.0","42.9",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-05","17.00",,"0.00","0.0","0.0","51","59","48","  110","  120","32.0","49.0",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-06","8.05",,"0.12","0.0","0.0","49","53","41","  110","  210","16.1","25.1",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-07","6.04",,"0.28","0.0","0.0","47","49","40","  110","  130","13.0","18.1","    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-08","8.50",,"0.30","0.0","0.0","45","49","40","  190","  220","23.9","35.1","    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-09","13.42",,"0.27","0.0","0.0","48","56","43","  110","  120","36.9","59.1","    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-10","9.62",,"0.00","0.0","0.0","47","54","45","  120","  130","17.0","25.9",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-11","10.51",,"0.09","0.0","0.0","50","57","44","  110","  110","17.0","23.9",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-12","10.96",,"0.46","0.0","0.0","49","53","47","  110","  100","21.0","29.1","    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-13","7.38",,"0.43","0.0","0.0","51","54","47","  220","  120","16.1","25.1","    1",,,,"    1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-14","9.17",,"0.06","0.0","0.0","50","59","46","  120","  110","19.9","29.1",,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2023-01-15","7.83",,"0.42","0.0","0.0","49","50","44","  180","  180","19.9","25.9","    1",,,,
